country,n_tips,faith_pd,pd_per_tip,mpd
Brazil,13,15506.22097314257,1192.7862287032747,3.4191780821917908
Cambodia,16,15506.22097314257,969.1388108214106,0.0
India,8,15506.22097314257,1938.2776216428213,4.499754044892159
France,33,15506.22097314257,469.88548403462335,1.943651368842242
Mexico,9,15506.22097314257,1722.9134414602856,0.0
Japan,26,15506.22097314257,596.3931143516373,1.0647128585165844
Thailand,15,15506.22097314257,1033.7480648761714,1.0659320807445813
United Kingdom,256,15506.22097314257,60.571175676338164,1.0016993858516232
Nepal,17,15506.22097314257,912.1306454789747,0.0
Netherlands,110,15506.22097314257,140.965645210387,0.88487838475567
China,9,11794.068287766151,1310.4520319740168,7.418832081576296
South Africa,4,3186.627499594611,796.6568748986527,0.6126581330937976
Croatia,3,935.0723325919133,311.6907775306378,1.3333333333333333
Togo,5,98.20894586893354,19.64178917378671,0.0
