accession,lineage
MK484705,A
OR770716,Unknown
OR770856,Unknown
OR770928,Unknown
OR770715,Unknown
OR770855,Unknown
OR770927,Unknown
OR770758,Unknown
OR770854,Unknown
OR770926,Unknown
OR770738,Unknown
OR770838,Unknown
OR770892,Unknown
OR770757,Unknown
OR770853,Unknown
OR770925,Unknown
OR770714,Unknown
OR770852,Unknown
OR770924,Unknown
OR770790,Unknown
OR770834,Unknown
OR770923,Unknown
OR770713,Unknown
OR770851,Unknown
OR770922,Unknown
OR770712,Unknown
OR770870,Unknown
OR770921,Unknown
OR770737,Unknown
OR770837,Unknown
OR770891,Unknown
OR770756,Unknown
OR770833,Unknown
OR770920,Unknown
OR770755,Unknown
OR770850,Unknown
OR770919,Unknown
OR770706,Unknown
OR770832,Unknown
OR770918,Unknown
OR770711,Unknown
OR770849,Unknown
OR770917,Unknown
OR770789,Unknown
OR770831,Unknown
OR770916,Unknown
OR770754,Unknown
OR770830,Unknown
OR770915,Unknown
OR770736,Unknown
OR770836,Unknown
OR770890,Unknown
OR770728,Unknown
OR770848,Unknown
OR770914,Unknown
OR770710,Unknown
OR770847,Unknown
OR770913,Unknown
OR770795,Unknown
OR770829,Unknown
OR770912,Unknown
OR770753,Unknown
OR770846,Unknown
OR770911,Unknown
OR770735,Unknown
OR770865,Unknown
OR770889,Unknown
OR770752,Unknown
OR770869,Unknown
OR770910,Unknown
OR770751,Unknown
OR770868,Unknown
OR770909,Unknown
OR770750,Unknown
OR770845,Unknown
OR770908,Unknown
OR770749,Unknown
OR770867,Unknown
OR770907,Unknown
OR770748,Unknown
OR770885,Unknown
OR770906,Unknown
OR770747,Unknown
OR770884,Unknown
OR770905,Unknown
OR770734,Unknown
OR770823,Unknown
OR770888,Unknown
OR770709,Unknown
OR770844,Unknown
OR770904,Unknown
OR770727,Unknown
OR770828,Unknown
OR770903,Unknown
OR770746,Unknown
OR770843,Unknown
OR770902,Unknown
OR770733,Unknown
OR770835,Unknown
OR770887,Unknown
OR770726,Unknown
OR770827,Unknown
OR770901,Unknown
OR770725,Unknown
OR770826,Unknown
OR770900,Unknown
OR770788,Unknown
OR770821,Unknown
OR770975,Unknown
OR770787,Unknown
OR770883,Unknown
OR770974,Unknown
OR770786,Unknown
OR770882,Unknown
OR770973,Unknown
OR770785,Unknown
OR770820,Unknown
OR770972,Unknown
OR770784,Unknown
OR770881,Unknown
OR770971,Unknown
OR770745,Unknown
OR770842,Unknown
OR770899,Unknown
OR770724,Unknown
OR770819,Unknown
OR770970,Unknown
OR770783,Unknown
OR770818,Unknown
OR770969,Unknown
OR770782,Unknown
OR770817,Unknown
OR770968,Unknown
OR770781,Unknown
OR770816,Unknown
OR770967,Unknown
OR770780,Unknown
OR770815,Unknown
OR770966,Unknown
OR770779,Unknown
OR770814,Unknown
OR770965,Unknown
OR770778,Unknown
OR770880,Unknown
OR770964,Unknown
OR770723,Unknown
OR770813,Unknown
OR770963,Unknown
OR770744,Unknown
OR770825,Unknown
OR770898,Unknown
OR770777,Unknown
OR770812,Unknown
OR770962,Unknown
OR770776,Unknown
OR770811,Unknown
OR770961,Unknown
OR770775,Unknown
OR770810,Unknown
OR770960,Unknown
OR770774,Unknown
OR770809,Unknown
OR770959,Unknown
OR770794,Unknown
OR770808,Unknown
OR770958,Unknown
OR770722,Unknown
OR770807,Unknown
OR770957,Unknown
OR770773,Unknown
OR770806,Unknown
OR770956,Unknown
OR770772,Unknown
OR770879,Unknown
OR770955,Unknown
OR770743,Unknown
OR770824,Unknown
OR770897,Unknown
OR770771,Unknown
