tip,year,root_to_tip
PV051120_2023_07_01,2023.5,309.1703106110248
KY549315_2009_07_01,2009.5,295.1703106110248
PX461756_2022_07_01,2022.5,308.1703106110248
KP212156_2011_08_11,2011.6107305936073,297.282639378148
KP212159_2011_12_01,2011.9166666666667,297.5894886932166
JQ004098_2010_07_01,2010.5,296.1703106110248
JQ004097_2010_07_01,2010.5,296.1703106110248
JQ004095_2010_07_01,2010.5,296.1703106110248
KP212158_2011_11_07,2011.8497716894976,297.5237352685589
KP212154_2010_11_24,2010.8963470319634,296.57031061102464
KU684314_2004_07_01,2004.5,290.1716879596287
KU684313_2010_07_01,2010.5,296.1703106110248
KX947285_2014_07_01,2014.5,300.1703106110248
KX947284_2014_07_01,2014.5,300.1703106110248
PX461754_2022_07_01,2022.5,308.1703106110248
OP751646_2016_07_01,2016.5,302.1716879596287
PV051127_2020_07_01,2020.5,306.1716879596287
OP751656_2016_07_01,2016.5,302.1716879596287
OP751648_2016_07_01,2016.5,302.1716879596287
KY549208_2009_07_01,2009.5,295.1703106110248
OP751633_2016_07_01,2016.5,302.1716879596287
OP971080_2017_05_23,2017.393607305936,303.06346129595624
OP971046_2017_02_02,2017.0860730593606,302.7620914329426
OP728391_2018_07_01,2018.5,304.1703106110248
KU684311_2011_07_01,2011.5,297.1703106110248
KU641509_2004_07_01,2004.5,290.1716879596287
PV051145_2023_07_01,2023.5,309.1703106110248
OP712097_2017_08_15,2017.6216894977167,303.2935982822577
OP712041_2017_08_15,2017.6216894977167,303.2935982822577
OP712021_2017_08_15,2017.6216894977167,303.2935982822577
OP712079_2017_08_15,2017.6216894977167,303.2935982822577
OP711986_2017_08_15,2017.6216894977167,303.2935982822577
PV051158_2021_07_01,2021.5,307.1703106110248
KY549231_2008_07_01,2008.5,294.1716879596287
PV051126_2023_07_01,2023.5,309.1703106110248
OP751659_2016_07_01,2016.5,302.1716879596287
OP751557_2016_07_01,2016.5,302.1716879596287
KY549263_2009_07_01,2009.5,295.1703106110248
OP971067_2017_09_13,2017.6995433789955,303.3730503370522
KY549212_2009_07_01,2009.5,295.1703106110248
OP751681_2016_07_01,2016.5,302.1716879596287
KY549284_2008_07_01,2008.5,294.1716879596287
KY549210_2009_07_01,2009.5,295.1703106110248
KY549209_2009_07_01,2009.5,295.1703106110248
KX947283_2014_07_01,2014.5,300.1703106110248
OP751587_2016_07_01,2016.5,302.1716879596287
OP751665_2016_07_01,2016.5,302.1716879596287
OP751600_2016_07_01,2016.5,302.1716879596287
OP728374_2018_07_01,2018.5,304.1703106110248
OP971070_2016_07_29,2016.5767123287671,302.2481906918691
LC786754_2021_07_01,2021.5,307.1703106110248
HM057182_2007_03_15,2007.2050228310502,292.87442020006586
KY549190_2008_07_01,2008.5,293.17031061102443
OP728372_2018_07_01,2018.5,303.1689332624205
OP728451_2018_07_01,2018.5,303.1689332624205
LC888268_2023_07_01,2023.5,308.1689332624205
LC718902_2021_07_01,2021.5,306.1689332624205
LC718898_2021_07_01,2021.5,306.1689332624205
PV012262_2024_01_15,2024.0383561643835,308.7112942175818
MW320358_2017_06_15,2017.4550228310502,302.1250976459821
MK484705_2018_07_01,2018.5,303.1689332624205
OP728423_2018_07_01,2018.5,303.1689332624205
KY549195_2008_07_01,2008.5,293.17031061102443
KC935953_2012_07_01,2012.5,297.17031061102443
LC718903_2021_07_01,2021.5,306.1689332624205
PV051155_2021_07_01,2021.5,306.1689332624205
PV051154_2021_07_01,2021.5,306.1689332624205
LC786760_2022_07_01,2022.5,307.1689332624205
KY549157_2008_07_01,2008.5,293.17031061102443
PV051159_2021_07_01,2021.5,306.1689332624205
JQ004099_2010_07_01,2010.5,295.1689332624205
JQ004094_2010_07_01,2010.5,295.1689332624205
LC786759_2022_07_01,2022.5,307.1689332624205
LC786756_2021_07_01,2021.5,306.1689332624205
LC718899_2020_07_01,2020.5,305.17031061102443
KF954093_2013_07_01,2013.5,298.1689332624205
LC888271_2024_07_01,2024.5,309.17031061102443
LC786755_2021_07_01,2021.5,306.1689332624205
LC786753_2021_07_01,2021.5,306.1689332624205
LC718900_2021_07_01,2021.5,306.1689332624205
JQ004096_2010_07_01,2010.5,295.1689332624205
FJ610150_2008_07_01,2008.5,293.17031061102443
PV051147_2024_07_01,2024.5,309.17031061102443
OP751649_2016_07_01,2016.5,301.17031061102443
OP751568_2016_07_01,2016.5,301.17031061102443
OP751615_2016_07_01,2016.5,301.17031061102443
OP728401_2018_07_01,2018.5,303.1689332624205
OP728413_2018_07_01,2018.5,303.1689332624205
OP728373_2018_07_01,2018.5,303.1689332624205
OP751673_2016_07_01,2016.5,301.17031061102443
OP751674_2016_07_01,2016.5,301.17031061102443
OP751655_2016_07_01,2016.5,301.17031061102443
OP751558_2016_07_01,2016.5,301.17031061102443
OP728408_2018_07_01,2018.5,303.1689332624205
OP751634_2016_07_01,2016.5,301.17031061102443
OP728359_2018_07_01,2018.5,303.1689332624205
OP751628_2016_07_01,2016.5,301.17031061102443
OP751608_2016_07_01,2016.5,301.17031061102443
OP751584_2016_07_01,2016.5,301.17031061102443
OP728358_2018_07_01,2018.5,303.1689332624205
KY549243_2008_07_01,2008.5,293.17031061102443
KY549217_2009_07_01,2009.5,294.1689332624205
KY549240_2009_07_01,2009.5,294.1689332624205
KY549168_2008_07_01,2008.5,293.17031061102443
PV051136_2023_07_01,2023.5,308.1689332624205
KY549197_2008_07_01,2008.5,293.17031061102443
KY549158_2008_07_01,2008.5,293.17031061102443
PV051162_2018_07_01,2018.5,303.1689332624205
PV051128_2023_07_01,2023.5,308.1689332624205
OP751637_2016_07_01,2016.5,301.17031061102443
OP751622_2016_07_01,2016.5,301.17031061102443
OP751677_2016_07_01,2016.5,301.17031061102443
OP751631_2016_07_01,2016.5,301.17031061102443
OP751598_2016_07_01,2016.5,301.17031061102443
KY549279_2008_07_01,2008.5,293.17031061102443
