tip,accession,lineage
EU918764_2007_08_15,EU918764,A
FJ610151_2008_07_01,FJ610151,D
LC718901_2021_07_01,LC718901,A
PV012280_2024_01_15,PV012280,A
LC888264_2022_07_01,LC888264,A
LC888269_2023_07_01,LC888269,A
FJ006723_2006_12_16,FJ006723,A
JN565303_2001_07_01,JN565303,A
JQ004093_2010_07_01,JQ004093,A
KY549225_2009_07_01,KY549225,A
JN565302_2001_07_01,JN565302,A
JQ004092_2010_07_01,JQ004092,A
KY549276_2010_07_01,KY549276,A
KY549221_2010_07_01,KY549221,A
PV051125_2020_07_01,PV051125,A
OP728355_2018_07_01,OP728355,A
OP728365_2018_07_01,OP728365,A
OP728371_2018_07_01,OP728371,A
OP728404_2018_07_01,OP728404,A
OP728457_2018_07_01,OP728457,A
OP728364_2018_07_01,OP728364,A
OP728380_2018_07_01,OP728380,A
JQ067943_2003_07_01,JQ067943,A
KY549166_2008_07_01,KY549166,A
KY549248_2011_07_01,KY549248,A
KY549200_2008_07_01,KY549200,A
KY549211_2009_07_01,KY549211,A
KY549164_2008_07_01,KY549164,A
KY549160_2008_07_01,KY549160,A
KY549167_2008_07_01,KY549167,A
KY549288_2009_07_01,KY549288,A
LC786757_2021_07_01,LC786757,A
PX461755_2022_07_01,PX461755,A
PX461759_2022_07_01,PX461759,A
KU684316_2009_07_01,KU684316,A
OP728354_2018_07_01,OP728354,A
OP751554_2016_07_01,OP751554,A
OP751676_2016_07_01,OP751676,A
OP751616_2016_07_01,OP751616,A
OP751624_2016_07_01,OP751624,A
OP728421_2018_07_01,OP728421,A
OP751586_2016_07_01,OP751586,A
OP751620_2016_07_01,OP751620,A
OP751651_2016_07_01,OP751651,A
OP751601_2016_07_01,OP751601,A
OP751678_2016_07_01,OP751678,A
OP751582_2016_07_01,OP751582,A
OP728384_2018_07_01,OP728384,A
OP751612_2016_07_01,OP751612,A
OP751613_2016_07_01,OP751613,A
OP751653_2016_07_01,OP751653,A
KX947276_2014_07_01,KX947276,A
KX947278_2014_07_01,KX947278,A
KX947282_2014_07_01,KX947282,A
KX947281_2014_07_01,KX947281,A
KX947277_2014_07_01,KX947277,A
PV051146_2024_07_01,PV051146,A
KX947279_2014_07_01,KX947279,A
KX947280_2014_07_01,KX947280,A
KF880690_2011_02_21,KF880690,A
KY549207_2009_07_01,KY549207,A
PV051165_2021_07_01,PV051165,A
KY549191_2008_07_01,KY549191,A
KY549321_2009_07_01,KY549321,A
PX461753_2022_07_01,PX461753,A
PX461757_2022_07_01,PX461757,A
PX461758_2022_07_01,PX461758,A
PX461760_2022_07_01,PX461760,A
KY549184_2008_07_01,KY549184,A
KY549277_2008_07_01,KY549277,A
KY549161_2008_07_01,KY549161,A
KY549254_2009_07_01,KY549254,A
KY549188_2008_07_01,KY549188,A
KY549258_2010_07_01,KY549258,A
KY549245_2009_07_01,KY549245,A
PV051138_2024_07_01,PV051138,A
KY549295_2010_07_01,KY549295,A
KY549313_2009_07_01,KY549313,A
KY549193_2008_07_01,KY549193,A
KY549214_2009_07_01,KY549214,A
KY549230_2010_07_01,KY549230,A
KY549198_2008_07_01,KY549198,A
OP751562_2016_07_01,OP751562,A
OP751559_2016_07_01,OP751559,A
OP751623_2016_07_01,OP751623,A
OP728350_2018_07_01,OP728350,A
OP728362_2018_07_01,OP728362,A
OP728361_2018_07_01,OP728361,A
OP728377_2018_07_01,OP728377,A
OP728415_2018_07_01,OP728415,A
OP728458_2018_07_01,OP728458,A
OP751563_2016_07_01,OP751563,A
OP751575_2016_07_01,OP751575,A
OP751576_2016_07_01,OP751576,A
OP751684_2016_07_01,OP751684,A
OP751652_2016_07_01,OP751652,A
OP751654_2016_07_01,OP751654,A
OP751669_2016_07_01,OP751669,A
OP751607_2016_07_01,OP751607,A
OP728389_2018_07_01,OP728389,A
OP751647_2016_07_01,OP751647,A
OP728396_2018_07_01,OP728396,A
OP751552_2016_07_01,OP751552,A
OP751636_2016_07_01,OP751636,A
OP751609_2016_07_01,OP751609,A
OP728387_2018_07_01,OP728387,A
OP728412_2018_07_01,OP728412,A
OP751658_2016_07_01,OP751658,A
OP728382_2018_07_01,OP728382,A
FJ610147_2008_07_01,FJ610147,A
KY549171_2008_07_01,KY549171,A
KY549186_2008_07_01,KY549186,A
KY549196_2008_07_01,KY549196,A
PV051151_2021_07_01,PV051151,A
KY549252_2010_07_01,KY549252,A
KY549307_2011_07_01,KY549307,A
KY549199_2008_07_01,KY549199,A
KY549270_2010_07_01,KY549270,A
KY549311_2010_07_01,KY549311,A
PV051139_2024_07_01,PV051139,A
KY549299_2009_07_01,KY549299,A
KY549162_2008_07_01,KY549162,A
KY549264_2008_07_01,KY549264,A
LC888263_2022_07_01,LC888263,A
KY549185_2008_07_01,KY549185,A
KY549187_2008_07_01,KY549187,A
KY549216_2009_07_01,KY549216,A
KY549194_2008_07_01,KY549194,A
KY549219_2010_07_01,KY549219,A
KY549203_2009_07_01,KY549203,A
KY549283_2009_07_01,KY549283,A
PX461752_2022_07_01,PX461752,A
FJ610148_2008_07_01,FJ610148,B
KY549206_2009_07_01,KY549206,A
KY549273_2011_07_01,KY549273,A
OP751561_2016_07_01,OP751561,A
OP751583_2016_07_01,OP751583,A
OP751592_2016_07_01,OP751592,A
OP751679_2016_07_01,OP751679,A
KY549223_2010_07_01,KY549223,A
KY549309_2009_07_01,KY549309,A
OP751617_2016_07_01,OP751617,A
KU684317_2009_07_01,KU684317,A
PV051132_2024_07_01,PV051132,A
OP751591_2016_07_01,OP751591,A
OP751667_2016_07_01,OP751667,A
KY883659_2016_07_01,KY883659,Unknown
OP751604_2016_07_01,OP751604,A
PV051143_2024_07_01,PV051143,A
PV051121_2020_07_01,PV051121,A
PV051135_2023_07_01,PV051135,A
PV051164_2021_07_01,PV051164,A
OP728353_2018_07_01,OP728353,A
OP728460_2018_07_01,OP728460,A
OP751666_2016_07_01,OP751666,A
OP751618_2016_07_01,OP751618,A
OP751650_2016_07_01,OP751650,A
OP728375_2018_07_01,OP728375,A
OP751578_2016_07_01,OP751578,A
OP751671_2016_07_01,OP751671,A
OP751603_2016_07_01,OP751603,A
OP728363_2018_07_01,OP728363,A
OP751588_2016_07_01,OP751588,A
OP751661_2016_07_01,OP751661,A
OP728381_2018_07_01,OP728381,A
OP728409_2018_07_01,OP728409,A
OP728440_2018_07_01,OP728440,A
