Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MK484705,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,xuca1916,7912,complete,China,China,Homo sapiens,,"Xu,H., Zhang,W.",2018,2019-08-26,dsDNA
X94741,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,squamous cell cervical carcinoma from a Japanese patient,3036,partial,,,,,"Bauer-Hofmann,R., Borghouts,C., Auvinen,E., Bourda,E., Rosl,F., Alonso,A.",,1996-01-09,dsDNA
OR770716,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-98,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770856,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-98,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770928,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-98,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770715,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-97,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770855,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-97,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770927,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-97,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770758,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-90,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770854,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-90,252,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770926,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-90,1422,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
OR770738,Human papillomavirus 16,Alphapapillomavirus 9,Papillomaviridae,,sample-9,288,partial,China: Xinjiang,China,Homo sapiens,,"Cheng,H., Pan,Z.",2023,2023-11-22,dsDNA
